#timestamp	handle	langs	wds_min	wds_max	wds_mea	wds_std	wds_mms	wds_mps	tpr_min	tpr_max	tpr_mea	tpr_std	tpr_mms	tpr_mps	tnr_min	tnr_max	tnr_mea	tnr_std	tnr_mms	tnr_mps	fpr_min	fpr_max	fpr_mea	fpr_std	fpr_mms	fpr_mps	fnr_min	fnr_max	fnr_mea	fnr_std	fnr_mms	fnr_mps	acc_min	acc_max	acc_mea	acc_std	acc_mms	acc_mps	pre_min	pre_max	pre_mea	pre_std	pre_mms	pre_mps	spe_min	spe_max	spe_mea	spe_std	spe_mms	spe_mps
1534684225	9018016	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.69	1.30	1.28	0.38	0.90	1.30
1534810174	17ad095	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.83	1.21	1.25	0.37	0.88	1.21
1535114939	dafbbf4	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.58	1.30	1.25	0.35	0.90	1.30
1535149318	4cbda4f	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.84	1.30	1.26	0.36	0.90	1.30
1535282415	efae96e	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.89	1.25	1.27	0.36	0.91	1.25
1535314044	a6a41f4	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.87	1.23	1.26	0.37	0.89	1.23
1535479405	07fd046	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.70	1.26	1.26	0.38	0.89	1.26
1535539740	caa4f00	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.76	1.27	1.25	0.36	0.89	1.27
1536335701	9aac1a3	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.94	1.24	1.26	0.36	0.94	1.24
1536962409	ea27258	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.95	1.21	1.27	0.36	0.95	1.21
1537452783	4b6f8f9	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.89	1.25	1.28	0.37	0.90	1.25
1537963467	facd49a	85	18	3802878	275377.153	474288.540	18.000	749665.693	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.87	1.26	1.25	0.35	0.90	1.26
