Authorisierung	Autorisierung
Billiard	Billard
Bisquit	Biskuit
Brilliant	Brillant
Diphterie	Diphtherie
Extase	Ekstase
Gallerie	Galerie
Gallionsfigur	Galionsfigur
Gingko	Ginkgo
Gries	Grieß
Jojo	Jo-Jo
Yo-Yo	Jo-Jo
Looser	Loser
Millenium	Millennium
Paradontose	Parodontitis
Parodontose	Parodontitis
Reeling	Reling
Standart	Standard
Stehgreif	Stegreif
Velour	Velours
Boing	Boeing
Entgeld	Entgelt
Kehrpaket	CARE-Paket
Lotos	Lotus
Addresse	Adresse
Diphtong	Diphthong
karthesisch	kartesisch
Kokusnuss	Kokosnuss
Lybien	Libyen
Manhatten	Manhattan
Overtüre	Ouvertüre
Phillipinen	Philippinen
Phillippinen	Philippinen
Rythmus	Rhythmus
Sovjetunion	Sowjetunion
Verließ	Verlies
