Authorisierung	Autorisierung
Billiard	Billard
Bisquit	Biskuit
Brilliant	Brillant
Diphterie	Diphtherie
Extase	Ekstase
Gallerie	Galerie
Gallionsfigur	Galionsfigur
Gingko	Ginkgo
Gries	Grieß
Jojo	Jo-Jo
Yo-Yo	Jo-Jo
Looser	Loser
Millenium	Millennium
Paradontose	Parodontitis
Parodontose	Parodontitis
Reeling	Reling
Standart	Standard
Stehgreif	Stegreif
Velour	Velours
Boing	Boeing
Entgeld	Entgelt
Kehrpaket	CARE-Paket
Lotos	Lotus
Addresse	Adresse
Diphtong	Diphthong
karthesisch	kartesisch
Kokusnuss	Kokosnuss
Lybien	Libyen
Manhatten	Manhattan
Overtüre	Ouvertüre
Phillipinen	Philippinen
Phillippinen	Philippinen
Rythmus	Rhythmus
Sovjetunion	Sowjetunion
Verließ	Verlies
abschiednehmen	Abschied nehmen
wars	war's
awa	ach was
packet	Paket
Allalei	Allerlei
geupdated	upgedatet
gefaked	gefakt
Erbung	Erbschaft
Energiesparung	Energieeinsparung
Abbrechung	Abbruch
Abbrechungen	Abbrüche
Urteilung	Verurteilung
allmöglichen	alle möglichen
jeztz	jetzt
Hijab	Hidschāb
näste	nächs
Germanistikern	Germanisten
Kreativlosigkeit	Unkreativität
hinundher	hin und her
misverständniss	Missverständnis
warheit	Wahrheit
pokemon	Pokémon
kreigt	kriegt
Fritöse	Fritteuse
unerkennlich	unkenntlich
rückgenglich	rückgängig
emmens	immens
verhing	verhängte
verhingen	verhängten
fangte	fing
fangten	fingen
schließte	schloss
schließten	schlossen
past	passt
eingetragt	eingetragen
getrunkt	getrunken
veräht	verrät
helfte	half
helften	halfen
befehlte	befahl
befehlten	befahlens
lügte	log
lügten	logen
bratete	briet
Inordnung	Ordnung
Wienerschnitzels	Wieners
Schwarzwälderkirschtorten	Schwarzwälderk
Nabend	'n Abend
giebts	gibt's
kaffeeteria	Cafeteria
kaffeeterien	Cafeterien
berücksicht	berücksichtigt
nix	nichts
must	musst
kaffe	Kaffee
zetel	Zettel
wiedaholung	Wiederholung
viedersehen	wiedersehen
präventiert	verhindert
prwventieren	verhindern
zurverfügung	zur Verfügung
Verwahrlosigkeit	Verwahrlosung
organisazion	Organisation
Organisative	Organisation
Emalliearbeit	Emaillearbeit
apetitt	Appetit
bezuggenommen	Bezug genommen
mägt	mögt
frug	fragte
gesäht	gesät
verennt	verrennt
überrant	überrannt"
Gallop	Galopp
Stop	Stopp
Schertz	Scherz
dreiundhalb	dreieinhalb
geschied	geschieht
Aku	Akku
Aleine	Alleine
Kaput	Kaputt
ausiehst	aussiehst
E-Maul	E-Mail
E-Mauls	E-Mails
E-Mal	E-Mail
E-Mals	E-Mails
tuhen	tun
tuhe	tue
tip	Tipp
ccm	cm³
Kilimandjaro	Kilimandscharo
Kilimandaro	Kilimandscharo
herausfordung	Herausforderung
berücksichtung	Berücksichtigung
artz	Arzt
thelepathie	Telepathie
gans	ganz
Pearl-Harbour	Pearl Harbor
autonomität	Autonomie
mitag	Mittag
Lexion	Lexikon
motorisation	Motorisierung
formalisation	Formalisierung
ausprache	Aussprache
menegment	Management
